fetch_time,station,stop_id,line,category,train_number,operator,arrival_time,arrival_platform,previous_stops,departure_time,departure_platform,next_stops
2026-01-21 04:00:44.441382,Berlin Hbf,1957499721071006901-2601210534-3,RE5,RE,3504,800158,2026-01-21 05:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 05:46:00,5,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 04:00:44.441397,Berlin Hbf,6043986857315704928-2601210349-11,RE5,RE,4351,800158,2026-01-21 05:11:00,4,Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Löwenberg(Mark)|Grüneberg|Nassenheide|Sachsenhausen(Nordb)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 05:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 04:16:54.847630,Berlin Hbf,1957499721071006901-2601210534-3,RE5,RE,3504,800158,2026-01-21 05:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 05:46:00,5,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 04:16:54.847636,Berlin Hbf,6043986857315704928-2601210349-11,RE5,RE,4351,800158,2026-01-21 05:11:00,4,Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Löwenberg(Mark)|Grüneberg|Nassenheide|Sachsenhausen(Nordb)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 05:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 04:34:38.162140,Berlin Hbf,1957499721071006901-2601210534-3,RE5,RE,3504,800158,2026-01-21 05:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 05:46:00,5,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 04:34:38.162156,Berlin Hbf,6043986857315704928-2601210349-11,RE5,RE,4351,800158,2026-01-21 05:11:00,4,Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Löwenberg(Mark)|Grüneberg|Nassenheide|Sachsenhausen(Nordb)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 05:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 04:34:42.039279,Berlin Hbf,1957499721071006901-2601210534-3,RE5,RE,3504,800158,2026-01-21 05:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 05:46:00,5,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 04:34:42.039285,Berlin Hbf,6043986857315704928-2601210349-11,RE5,RE,4351,800158,2026-01-21 05:11:00,4,Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Löwenberg(Mark)|Grüneberg|Nassenheide|Sachsenhausen(Nordb)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 05:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 04:35:02.498739,Berlin Hbf,1957499721071006901-2601210534-3,RE5,RE,3504,800158,2026-01-21 05:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 05:46:00,5,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 04:35:02.498753,Berlin Hbf,6043986857315704928-2601210349-11,RE5,RE,4351,800158,2026-01-21 05:11:00,4,Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Löwenberg(Mark)|Grüneberg|Nassenheide|Sachsenhausen(Nordb)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 05:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
