scenario,feature,overall_shap,scenario_shap,delta,pct_change
match_day,hour,0.0,0.0,0.0,0.0
match_day,dow,0.3189,0.7847,0.4659,146.11
match_day,month,3.9015,5.3646,1.4631,37.5
match_day,is_weekend,0.08,0.2454,0.1654,206.69
match_day,is_rush_hour,0.0,0.0,0.0,0.0
match_day,is_night,0.0,0.0,0.0,0.0
match_day,is_match_day,0.2453,6.4528,6.2074,2530.4
match_day,is_holiday,0.1801,0.075,-0.1051,-58.35
match_day,hist_avg_stop_hour_dow,4.6834,6.3247,1.6413,35.05
match_day,hist_avg_stop_hour,0.4911,0.9198,0.4287,87.3
match_day,hist_avg_stop_dow,3.8746,4.9187,1.0441,26.95
non_match_day,hour,0.0,0.0,0.0,0.0
non_match_day,dow,0.3189,0.3137,-0.0052,-1.63
non_match_day,month,3.9015,3.8852,-0.0163,-0.42
non_match_day,is_weekend,0.08,0.0782,-0.0018,-2.3
non_match_day,is_rush_hour,0.0,0.0,0.0,0.0
non_match_day,is_night,0.0,0.0,0.0,0.0
non_match_day,is_match_day,0.2453,0.1763,-0.069,-28.14
non_match_day,is_holiday,0.1801,0.1812,0.0012,0.65
non_match_day,hist_avg_stop_hour_dow,4.6834,4.6651,-0.0183,-0.39
non_match_day,hist_avg_stop_hour,0.4911,0.4863,-0.0048,-0.97
non_match_day,hist_avg_stop_dow,3.8746,3.863,-0.0116,-0.3
holiday,hour,0.0,0.0,0.0,0.0
holiday,dow,0.3189,0.7377,0.4189,131.36
holiday,month,3.9015,2.4618,-1.4396,-36.9
holiday,is_weekend,0.08,0.0862,0.0062,7.79
holiday,is_rush_hour,0.0,0.0,0.0,0.0
holiday,is_night,0.0,0.0,0.0,0.0
holiday,is_match_day,0.2453,0.2718,0.0265,10.8
holiday,is_holiday,0.1801,2.394,2.2139,1229.46
holiday,hist_avg_stop_hour_dow,4.6834,5.2514,0.5681,12.13
holiday,hist_avg_stop_hour,0.4911,0.9259,0.4348,88.52
holiday,hist_avg_stop_dow,3.8746,4.3492,0.4746,12.25
non_holiday,hour,0.0,0.0,0.0,0.0
non_holiday,dow,0.3189,0.3041,-0.0147,-4.62
non_holiday,month,3.9015,3.9521,0.0507,1.3
non_holiday,is_weekend,0.08,0.0798,-0.0002,-0.27
non_holiday,is_rush_hour,0.0,0.0,0.0,0.0
non_holiday,is_night,0.0,0.0,0.0,0.0
non_holiday,is_match_day,0.2453,0.2444,-0.0009,-0.38
non_holiday,is_holiday,0.1801,0.1021,-0.0779,-43.27
non_holiday,hist_avg_stop_hour_dow,4.6834,4.6634,-0.02,-0.43
non_holiday,hist_avg_stop_hour,0.4911,0.4758,-0.0153,-3.12
non_holiday,hist_avg_stop_dow,3.8746,3.8579,-0.0167,-0.43
non_rush_hour,hour,0.0,0.0,0.0,0.0
non_rush_hour,dow,0.3189,0.3189,0.0,0.0
non_rush_hour,month,3.9015,3.9015,0.0,0.0
non_rush_hour,is_weekend,0.08,0.08,0.0,0.0
non_rush_hour,is_rush_hour,0.0,0.0,0.0,0.0
non_rush_hour,is_night,0.0,0.0,0.0,0.0
non_rush_hour,is_match_day,0.2453,0.2453,0.0,0.0
non_rush_hour,is_holiday,0.1801,0.1801,0.0,0.0
non_rush_hour,hist_avg_stop_hour_dow,4.6834,4.6834,0.0,0.0
non_rush_hour,hist_avg_stop_hour,0.4911,0.4911,0.0,0.0
non_rush_hour,hist_avg_stop_dow,3.8746,3.8746,0.0,0.0
weekend,hour,0.0,0.0,0.0,0.0
weekend,dow,0.3189,0.3509,0.032,10.03
weekend,month,3.9015,3.5717,-0.3298,-8.45
weekend,is_weekend,0.08,0.1458,0.0658,82.26
weekend,is_rush_hour,0.0,0.0,0.0,0.0
weekend,is_night,0.0,0.0,0.0,0.0
weekend,is_match_day,0.2453,0.255,0.0097,3.96
weekend,is_holiday,0.1801,0.0969,-0.0831,-46.17
weekend,hist_avg_stop_hour_dow,4.6834,4.905,0.2216,4.73
weekend,hist_avg_stop_hour,0.4911,0.533,0.0419,8.53
weekend,hist_avg_stop_dow,3.8746,4.0848,0.2102,5.43
weekday,hour,0.0,0.0,0.0,0.0
weekday,dow,0.3189,0.308,-0.0108,-3.4
weekday,month,3.9015,4.0132,0.1117,2.86
weekday,is_weekend,0.08,0.0577,-0.0223,-27.86
weekday,is_rush_hour,0.0,0.0,0.0,0.0
weekday,is_night,0.0,0.0,0.0,0.0
weekday,is_match_day,0.2453,0.242,-0.0033,-1.34
weekday,is_holiday,0.1801,0.2082,0.0282,15.64
weekday,hist_avg_stop_hour_dow,4.6834,4.6083,-0.075,-1.6
weekday,hist_avg_stop_hour,0.4911,0.4769,-0.0142,-2.89
weekday,hist_avg_stop_dow,3.8746,3.8034,-0.0712,-1.84
